Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-09-26,261.4425048828125,263.57097346086664,261.01861122209493,262.3714598170946,79739700
2018-09-27,262.1730041503906,263.2733219542798,261.64088708051065,261.92047354902775,59249500
2018-09-28,262.2001037597656,262.7051650467496,261.5056513711067,261.54170751747995,70091400
2018-10-01,263.1110534667969,264.1933159511584,262.43462909265406,263.4537520297222,62078900
2018-10-02,262.9577331542969,263.67924151741823,262.5789508969811,262.9577331542969,47258200
2018-10-03,263.1019287109375,264.44574916474295,262.7411746824264,264.02185561220614,64694600
2018-10-04,261.0456848144531,262.6690922291497,259.440305473688,262.6149804835783,111545900
2018-10-05,259.5846252441406,261.79426169236467,258.1415810700031,261.2711722851762,105951700
2018-10-08,259.5846252441406,259.94537940673047,257.4922125678301,258.89014526928247,87742200
2018-10-09,259.2057800292969,260.5225449283453,258.63757922714063,259.19677975501355,74339000
2018-10-10,250.99847412109375,258.7638386202125,250.61969196432062,258.6916712887883,214731000
2018-10-11,245.4698944091797,251.53965784209564,243.83743168803008,249.898194845958,274840500
2018-10-12,248.87901306152344,249.90716349762928,245.6501995784668,249.61854924323214,183186500
2018-10-15,247.4811553955078,249.86218269138615,247.3909599633097,248.51833405633207,102263700
2018-10-16,252.89251708984375,253.2713268447059,248.9873058663737,249.46531131668914,118255800
2018-10-17,252.93756103515625,253.56887375968142,250.33105996646657,252.92853323842414,110626000
2018-10-18,249.28492736816406,252.5949094628655,247.99521814894953,251.9906249029642,134557500
2018-10-19,249.14962768554688,251.90040894550572,248.44614748479756,249.94330330152587,139901600
2018-10-22,248.0312957763672,250.1507367746045,247.49015077784318,249.82606628975688,82415800
2018-10-23,246.76858520507812,247.90498681267422,242.2590899670296,244.369557959358,146352700
2018-10-24,239.29188537597656,246.9039162859335,238.73271231544518,246.51607873937178,177806700
2018-10-25,243.58489990234375,245.14519527366306,240.112610342391,241.1497888157708,138061500
2018-10-26,239.30088806152344,244.4146683247582,236.5591344775095,239.83303277806252,201574600
2018-10-29,237.97508239746094,243.73823083566307,234.35848573656668,242.43046613619254,160749100
2018-10-30,241.5015411376953,241.8172113654082,237.30771532316567,237.80377640208008,157116000
2018-10-31,244.08096313476562,246.42590635041964,243.6209857761731,244.0989912085975,128296300
2018-11-01,246.67849731445312,246.87691627022332,243.85554797617948,244.9558662720354,99495000
2018-11-02,245.21731567382812,248.22965482647035,243.14293160039227,247.79673342730263,122634100
2018-11-05,246.57020568847656,247.12937872106647,244.73032383626455,245.71339054255586,65622500
2018-11-06,248.1304931640625,248.29282840759325,246.44394613412206,246.50708568119896,60085900
2018-11-07,253.4427032470703,253.52387087229604,249.8982184695372,250.33113999452044,102752100
2018-11-08,252.98263549804688,253.6320037917199,251.8282060341581,252.63088172391298,65584900
2018-11-09,250.51141357421875,251.84620615145704,249.08639809059252,251.6568151145885,98812600
2018-11-12,245.83062744140625,250.24089942572544,245.3075105859504,249.99739659397665,99673600
2018-11-13,245.37069702148438,248.31989753143608,244.64016086283783,246.29965210740409,98176600
2018-11-14,243.6931610107422,247.67051203595187,242.11483750037152,247.26467393326607,125335900
2018-11-15,246.2364044189453,246.70540941768263,240.81601126012265,242.41236225318409,135101400
2018-11-16,246.87680053710938,247.79672752418313,244.60399765033677,245.12711443567392,126668000
2018-11-19,242.70108032226562,246.56120779886535,241.7721252468436,246.26356564942935,103061700
2018-11-20,238.2095947265625,240.80706863474163,237.33475146615189,239.32794084444848,136021300
2018-11-21,239.02125549316406,240.94230470606004,239.0122552196152,239.7788473262915,75563700
2018-11-23,237.42491149902344,238.8408995332322,237.2625762849006,237.36177196338463,42807900
2018-11-26,241.25804138183594,241.48351618686567,239.30993576352526,239.70677362228002,79981400
2018-11-27,242.06971740722656,242.06971740722656,239.59852263518226,240.21180742880574,75502400
2018-11-28,247.64349365234375,247.64349365234375,242.0066231191019,243.15205282667705,127629600
2018-11-29,247.10232543945312,248.5182861090301,245.70436531954869,246.85879506712507,82346400
2018-11-30,248.6085205078125,249.17672143397516,246.62435869003784,246.94902920568475,98204200
2018-12-03,251.90042114257812,252.8925157105893,250.28604148403664,252.78429221658402,103176300
2018-12-04,243.73822021484375,251.49455761172698,243.4225500400603,251.06163615570037,177986000
2018-12-06,243.36843872070312,243.48569000214965,236.69439119042136,239.83300982356522,204185400
2018-12-07,237.71351623535156,244.6130377961463,236.8657290084019,243.02568681398154,161018900
2018-12-10,238.16455078125,239.1476176989867,233.2491886687846,237.53321027227543,151445900
2018-12-11,238.21861267089844,241.59170648290515,236.73048466699996,241.40231537937018,121504400
2018-12-12,239.4181365966797,242.6108672402537,239.336968977408,241.23096266507991,97976700
2018-12-13,239.33694458007812,241.24896614697863,238.20957077659676,240.3741229745261,96662700
2018-12-14,234.91766357421875,238.12842222156925,234.3584905267487,237.16338356285715,116961100
2018-12-17,230.30894470214844,235.07998467825544,228.6584677695598,233.95261085232502,165492300
2018-12-18,230.056396484375,232.64485594897562,228.4329755467252,231.96843170511207,134515100
2018-12-19,226.61114501953125,233.9526025634075,224.88852833357623,230.13757352495358,214992800
2018-12-20,222.9224090576172,226.93585748319487,220.6496193686821,225.34851994911492,252053400
2018-12-21,218.3548126220703,226.52838561351126,217.70165211676255,223.8341019896797,255345600
2018-12-24,212.5852508544922,218.48182912601268,212.52175644030888,216.8489277592949,147311600
2018-12-26,223.3261260986328,223.3261260986328,212.05912569346324,214.06396870566505,218485400
2018-12-27,225.04063415527344,225.24019790305732,216.77635288797373,220.05122208887903,186267300
2018-12-28,224.75035095214844,228.06150093886112,223.57103251775314,226.41046620451016,153100200
2018-12-31,226.7189178466797,226.96385653471913,224.4963639858332,226.3923375433785,144299400
2019-01-02,226.95474243164062,227.88913597852076,223.11743481737952,223.14464868510638,126925200
2019-01-03,221.53900146484375,225.49424553776626,221.04912410300145,225.18579859642884,144140700
2019-01-04,228.95957946777344,229.61273996187833,224.22417280663905,224.6051807878249,142628800
2019-01-07,230.76487731933594,232.18912065378402,228.3245987146327,229.2317646588493,103139100
2019-01-08,232.93296813964844,233.42284545620169,230.42012867134727,232.978343043397,102512600
2019-01-09,234.02157592773438,234.87431404330155,232.40682181869315,233.64963460630574,95006600
2019-01-10,234.8471221923828,235.1011275473542,231.78089689590215,232.4703518670419,96823900
